name,for,fov,constellation_size,agility,event_duration,event_frequency,event_density,event_clustering,num_event_types,planner,reobserve_reward,reward,events,init_obs_count,replan_obs_count,vis_count,init_event_obs_count,init_events_seen,init_event_reward,init_planner_reward,init_perc_cov,init_max_rev,init_avg_rev,init_all_perc_cov,init_all_max_rev,init_all_avg_rev,replan_event_obs_count,replan_events_seen,replan_event_reward,replan_planner_reward,replan_perc_cov,replan_max_rev,replan_avg_rev,replan_all_perc_cov,replan_all_max_rev,replan_all_avg_rev,vis_event_obs_count,vis_events_seen,vis_event_reward,vis_planner_reward,vis_perc_cov,vis_max_rev,vis_avg_rev,vis_all_perc_cov,vis_all_max_rev,vis_all_avg_rev,time
oa_het_126,10,10,2,5,43200,2.777777777777778e-08,5,8,2,dp,2,10,7,14917,14530,12577,2,4,2.0,60,0.2857142857142857,32288.589999999997,14400.0,1.0,86400.0,33861.64376242077,2,4,2.0,60,0.2857142857142857,32290.0,14400.0,1.0,86400.0,34231.36513838254,2,4,2.0,60,0.2857142857142857,32290.0,14400.0,1.0,86400.0,34145.17652080714,312.5538794994354
oa_het_127,60,5,2,1,3600,2.777777777777778e-05,1,8,4,dp,2,10,1576,41946,36831,61488,41,848,41.0,43780,0.02601522842639594,1831.4100000000035,186.8576539048757,1.0,86400.0,2510.647340464853,63,835,63.0,49170,0.0399746192893401,1814.0999999999985,170.24441058512113,1.0,86400.0,2707.8745969966826,71,873,71.0,65020,0.0450507614213198,1620.0,130.49830861919068,1.0,86400.0,2292.0828097585227,895.2340395450592
oa_het_128,60,1,2,5,3600,2.777777777777778e-06,5,8,3,dp,2,10,788,89342,78950,176007,13,287,13.0,8800,0.01649746192893401,2314.7860000000073,524.1758241758241,1.0,86400.0,4890.322056371158,33,295,33.0,12150,0.04187817258883249,2213.413999999997,311.3196340201688,1.0,86400.0,4917.326296898469,37,317,37.0,17070,0.046954314720812185,2040.0,228.40690185682448,1.0,86400.0,3580.608860530274,3352.3294224739075
oa_het_129,60,10,2,5,3600,2.777777777777778e-05,1,1,4,dp,2,10,1579,44255,39749,59433,45,844,45.0,43940,0.028499050031665613,1639.8999999999942,252.01743228678217,1.0,10544.044000000002,1845.7612020319398,70,844,70.0,49360,0.044331855604813175,1842.3659999999945,227.21586630235072,1.0,11242.252,2027.5999907902642,77,868,77.0,61280,0.04876504116529449,580.0,177.23527018865175,1.0,10530.0,1760.0241750884531,920.4254276752472
oa_het_130,10,5,2,0.1,43200,2.777777777777778e-05,10,8,3,dp,2,10,15518,31790,30409,55888,1680,11024,1680.0,283780,0.10826137388838768,40366.100000000006,6960.882247537687,1.0,86400.0,26765.373946876207,1852,10547,1852.0,298410,0.11934527645315118,40868.09999999999,6738.718107234395,1.0,86400.0,28457.41423996891,2826,12030,2826.0,491450,0.18211109679082357,40090.0,6002.7742218635,1.0,86400.0,20898.488766395807,2616.73241853714
oa_het_131,30,5,2,0.01,43200,2.777777777777778e-05,1,4,4,dp,2,10,1503,8365,9985,29798,416,1387,416.0,78210,0.2767797737857618,30938.0,4908.127981394407,1.0,86400.0,10347.900026879168,756,1416,756.0,110890,0.5029940119760479,32157.0,4788.0170621781745,1.0,66461.0,7464.590463207829,1113,1439,1113.0,282290,0.7405189620758483,33790.0,3898.0614456225526,1.0,86400.0,3976.600681237646,509.22935581207275
oa_het_132,60,1,2,5,21600,2.7777777777777776e-07,5,8,4,dp,2,10,76,157163,139531,312320,33,72,33.0,8990,0.4342105263157895,12289.195999999996,1748.787130788991,1.0,86400.0,3257.8823550665247,35,72,35.0,12800,0.4605263157894737,12289.195999999996,1633.2267148131564,1.0,86400.0,3136.403470364856,39,72,39.0,14330,0.5131578947368421,12290.0,1438.0831474196114,1.0,86400.0,2342.617750271724,5653.931436300278
oa_het_133,60,10,2,0.01,43200,2.777777777777778e-06,10,4,2,dp,2,10,1510,14527,12952,151996,199,735,199.0,12450,0.1317880794701987,41866.0,11791.744436468056,1.0,86400.0,41076.56582590547,334,649,334.0,18860,0.22119205298013245,41073.0,9967.772038164574,1.0,86400.0,46827.05750324859,1352,1366,1352.0,120740,0.895364238410596,42930.0,7379.4010816018235,1.0,86400.0,6631.249656239489,2364.837763786316
oa_het_134,60,10,2,1,21600,2.777777777777778e-08,1,8,2,dp,2,10,2,10860,9546,16037,1,2,1.0,40,0.5,19474.620000000003,5400.0,1.0,86400.0,7905.213550990105,1,2,1.0,40,0.5,11724.26000000001,7200.0,1.0,86400.0,8760.150180840239,2,2,2.0,50,1.0,19480.0,6300.0,1.0,86400.0,7227.385824247206,148.86905598640442
oa_het_135,30,5,2,5,3600,2.777777777777778e-06,5,8,4,dp,2,10,776,106208,102920,144917,3,307,3.0,9880,0.003865979381443299,635.8300000000017,194.8051948051948,1.0,86400.0,4750.606239185832,7,320,7.0,12280,0.00902061855670103,630.2819999999992,122.4718051679387,1.0,86400.0,4658.229560512039,9,331,9.0,13730,0.011597938144329897,460.0,136.65359945847752,1.0,86400.0,4259.888457708824,3172.2758297920227
oa_het_136,60,1,2,0.1,3600,2.777777777777778e-05,10,1,2,dp,2,10,15776,24838,23157,143404,343,1829,343.0,24070,0.02174188640973631,3546.4000000000015,1099.4169096209912,1.0,86400.0,30413.85621620247,611,1824,611.0,28260,0.03872971602434077,3488.9000000000015,1077.9097498246433,1.0,86400.0,29336.371093019585,3976,4677,3976.0,143670,0.25202839756592293,3600.0,910.2803441109527,1.0,22380.0,6588.488051899403,4231.135927915573
oa_het_137,10,1,2,1,3600,2.777777777777778e-06,1,8,4,dp,2,10,166,8400,8284,8580,0,41,0,1060,0.0,86400,86400,1.0,86400.0,12133.774218391982,0,41,0,1060,0.0,86400,86400,1.0,86400.0,12295.169201831493,0,41,0,1060,0.0,86400,86400,1.0,86400.0,12038.33641209757,399.5752384662628
oa_het_138,60,10,2,1,43200,2.777777777777778e-06,10,8,3,dp,2,10,1546,142824,118140,344014,911,1386,911.0,124410,0.5892626131953428,41164.58,4887.433713068282,1.0,86400.0,7177.780815153148,1072,1388,1072.0,188010,0.6934023285899095,41039.140000000014,4105.337239908465,1.0,86400.0,7334.785480510258,1198,1427,1198.0,287830,0.7749029754204398,40890.0,3317.4438824129015,1.0,86400.0,3691.321363514734,9276.067191362381
oa_het_139,10,5,2,0.01,43200,2.7777777777777776e-07,10,8,2,dp,2,10,161,6413,6268,24023,4,43,4.0,650,0.024844720496894408,39959.0,10620.0,1.0,86400.0,58961.19501751223,10,42,10.0,1160,0.062111801242236024,39978.0,11017.22033898305,1.0,86400.0,59741.802879193885,31,86,31.0,2120,0.19254658385093168,40960.0,11810.595184007268,1.0,86400.0,34325.661232396684,446.82268023490906
oa_het_140,60,5,2,1,43200,2.7777777777777776e-07,1,1,3,dp,2,10,15,21226,18733,32235,13,15,13.0,2100,0.8666666666666667,28069.850000000006,3503.1337892876354,1.0,14122.919999999998,3370.003888121949,13,15,13.0,2680,0.8666666666666667,28070.0,3592.5840000937783,1.0,42247.46,3736.2022202009043,13,15,13.0,3590,0.8666666666666667,28070.0,3255.4340658348165,1.0,14060.0,3084.0031347847757,367.17008686065674
oa_het_141,10,10,2,0.01,43200,2.7777777777777776e-07,5,4,4,dp,2,10,71,16191,16305,43446,5,54,5.0,1380,0.07042253521126761,31775.0,5019.428571428572,1.0,86400.0,23147.643001254244,10,59,10.0,2600,0.14084507042253522,21520.0,4229.673224037519,1.0,86400.0,23043.976520831442,20,64,20.0,3340,0.28169014084507044,32330.0,5095.831168831169,1.0,86400.0,11158.623951590953,867.6218445301056
oa_het_142,30,10,2,5,43200,2.7777777777777776e-07,1,8,3,dp,2,10,18,16765,16138,16502,15,18,15.0,1800,0.8333333333333334,27439.225999999995,5743.6828434723175,1.0,86400.0,7267.253763082131,15,18,15.0,1850,0.8333333333333334,27439.372000000003,5786.49817448277,1.0,86400.0,7496.3233407447715,15,18,15.0,1880,0.8333333333333334,27440.0,5666.49817448277,1.0,86400.0,7475.735490714359,232.35031723976135
oa_het_143,10,10,2,5,3600,2.777777777777778e-06,10,8,2,dp,2,10,1538,31007,31392,26399,53,147,53.0,2760,0.03446033810143043,3368.1879999999946,979.7931591161336,1.0,86400.0,34400.42374450459,54,149,54.0,2910,0.035110533159947985,3367.9140000000043,959.5129870129871,1.0,86400.0,34709.041092041254,48,148,48.0,2510,0.031209362808842653,3370.0,1003.6688311688313,1.0,86400.0,34729.086511107846,1079.8111565113068
oa_het_144,30,5,2,0.01,3600,2.777777777777778e-08,1,8,2,dp,2,10,3,2130,2477,6830,0,0,0,0,0.0,86400,86400,1.0,86400.0,30296.56265982149,0,0,0,0,0.0,86400,86400,1.0,86400.0,25887.74389885716,0,0,0,0,0.0,86400,86400,1.0,86400.0,13934.392166589862,65.98105001449585
