lat [deg],lon [deg]
45.24375,4.583333333
41.42083333,-76.48541667
30.19791667,-94.65
45.06666667,-81.31041667
57.33958333,-94.85208333
45.55208333,-115.8895833
47.96875,-58.61875
51.79791667,-127.48125
50.23333333,-100.6541667
58.18541667,-95.85833333
36.78958333,-119.2895833
18.44791667,-102.2395833
46.84583333,-122.5208333
58.92291667,-71.40833333
51.55625,-88.56041667
53.75625,-130.05
48.96458333,-96.75625
26.60208333,-97.93958333
42.4875,-98.14166667
60.98125,-72.23541667
46.93125,-107.9229167
48.85625,-82.80208333
40.12083333,-80.19375
45.54375,-105.0833333
34.97291667,-101.9770833
50.70625,-76.15
37.62291667,-94.24583333
55.74791667,-70.95208333
16.43541667,-89.67708333
35.81458333,-118.84375
51.75,-103.6979167
27.16458333,-107.95625
36.5875,-79.6
56.76875,-91.84791667
35.91666667,-88.4
35.55833333,-116.4166667
45.20833333,-75.94791667
51.55625,-67.45208333
37.38125,-92.70625
41.775,-103.0791667
51.91041667,-111.7604167
56.97291667,-71.24583333
