lat [deg],lon [deg],,
-3.04681,-60.42327,,
-3.07947,-60.15188,,
-1.23794,-62.15104,,
-1.37733,-60.12122,,
-2.89693,-60.57086,,
-1.30451,-62.00325,,
-3.07436,-60.167,,
-1.40655,-60.07863,,
-1.49214,-60.0299,,
-1.48429,-60.03813,,
-2.81583,-57.95756,,
-2.17195,-54.83344,,
-2.93535,-58.11988,,
-2.03507,-55.36127,,
-2.38114,-54.87869,,
-2.40447,-54.27773,,
-2.61819,-58.05536,,
-1.90155,-55.62054,,
-2.50379,-57.29567,,
-1.9998,-56.04175,,
-2.33917,-54.09325,,
-2.0627,-54.00008,,
-3.35026,-58.76529,,
-2.21517,-54.89673,,
-2.16292,-54.9661,,
-2.85898,-58.23504,,
-2.87013,-58.21981,,
-2.97577,-58.26162,,
-2.82988,-55.11466,,
-2.381,-54.87896,,
-3.84867,-49.64008,,
-1.79215,-50.68136,,
-1.70815,-52.28233,,
-3.863,-49.61237,,
-0.48515,-51.35175,,
-0.339,-50.93386,,
-1.79919,-51.38509,,
-0.52574,-50.77964,,
-0.5465,-50.87292,,
-0.56317,-51.5146,,
-1.56545,-52.62222,,
-1.88688,-50.73151,,
-1.91622,-49.20554,,
-1.23424,-51.42301,,
-1.55994,-52.55778,,
-2.01171,-49.33379,,
-0.849,-51.18124,,
-1.19709,-51.86522,,
-1.64034,-52.92044,,
-1.76108,-53.02623,,
-0.70949,-51.14214,,
-1.0645,-51.24124,,
-1.60801,-49.32742,,
-0.4994,-51.42077,,
-3.84015,-49.75004,,
-1.20589,-51.38525,,
-0.48502,-51.35148,,
-1.79408,-50.29916,,
-1.6993,-49.48291,,
-1.77764,-51.23889,,
-1.85145,-53.51364,,
-0.59509,-51.07405,,
-2.13287,-52.20483,,
-1.79058,-50.06155,,
-1.69916,-49.48264,,
-0.60119,-51.08713,,
-2.03883,-53.9821,,
-1.83789,-50.25518,,
-2.04874,-52.21852,,
-1.83972,-49.87436,,
-1.79357,-50.07153,,
-0.52546,-50.77991,,
-1.81572,-50.1349,,
-1.82188,-52.22739,,
-1.79058,-50.06182,,
-1.82988,-50.24089,,
-1.83001,-50.24116,,
-2.6595,-44.45136,,
-2.72957,-44.57549,,
-2.79601,-44.44334,,
-2.27923,-44.37719,,
-2.59219,-44.45355,,
-2.47709,-44.38574,,
-2.41082,-44.30266,,
-2.64783,-44.45785,,
-2.63128,-44.46662,,
-2.64186,-44.46109,,
-1.39871,9.10432,,
-0.46045,17.69789,,
-0.56428,17.70575,,
-0.55356,17.72971,,
-2.04521,16.33629,,
-1.61409,16.65007,,
-1.22896,16.86233,,
-1.22625,16.86987,,
-1.71694,16.61336,,
-2.02892,16.34733,,
-0.89135,18.08552,,
-1.99683,18.63722,,
-1.60946,18.12325,,
-2.22769,18.36678,,
-0.7959,18.02851,,
-0.7032,18.02682,,
-1.76657,18.22431,,
-2.07474,18.34562,,
-0.70293,18.02669,,
-2.37002,104.90646,,
-0.57362,109.1654,,
-0.92448,109.36604,,
-0.61016,109.33894,,
